Cod_Loc,IdProvincia,IdDepartamento,categoria,provincia,localidad,nombre,direccion,CP,telefono,Mail,Web,Categoría,Provincia,Localidad,Nombre,Dirección,Teléfono
6274010,6,6274,Espacios de Exhibición Patrimonial,Buenos Aires,Florencio Varela,Museo Histórico Provincial Guillermo E. Hudson,"Calle 1356 (El Zaino), Entre Av. Hudson y 1379",1888,497 314,,,,,,,,
6861010,6,6861,Espacios de Exhibición Patrimonial,Buenos Aires,Florida,Museo De La Piedra Argentina,Esteban Echeverría 333,1602,4760 9138,,,,,,,,
6861010,6,6861,Espacios de Exhibición Patrimonial,Buenos Aires,Florida,Museo Forrajeria De La Familia García,Gral. José María Paz 1584,B1602AYD,4796 9556,,,,,,,,
6301010,6,6301,Espacios de Exhibición Patrimonial,Buenos Aires,General Belgrano,Museo Histórico Municipal Alfredo E. Múlgura,Avda. Larrea 454,B7223GUO,,,,,,,,,
6322010,6,6322,Espacios de Exhibición Patrimonial,Buenos Aires,Gral. la Madrid,Archivo Y Museo Histórico Juan Carlos Pacín,San Martín 545,B7406AMK,,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo De Historia De La Medicina Dr. Santiago Garostiague,Avda. 60 y 120 Facultad de Ciencias Médicas,1900,424 1596 INT 374,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo Y Galería Fotográfica Mugafo Centro Cultural Islas Malvinas,Calle 19 E/ 50 y 51,B1900TQU,417 6795,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo De Anatomía Veterinaria Dr. Víctor Manuel Arroyo,Calle 60 y 118,B1904AAO,423 6663 INT 424,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo De Historia Militar Teniente General Julio Argentino Roca,Calle 137 y 635,1909,450 1214,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo Almafuerte,Calle 66 530,B1904ASJ,427 5631,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo Provincial De Bellas Artes Emilio Pettoruti,Avda. 51 N° 525 E/5 y 6,B1900AVK,421 8619,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo Pictórico Indigenista Yana Kúntur,"Calle 516, N°2479 Entre 19 y 20",1900,484 2526,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo De Instrumentos Musicales Dr. Emilio Azzarini,Calle 45 Nro. 582,B1900ADX,424 0401,museo azzarini@hotmail.com,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo De La Artesanía Tradicional Argentina Y Latinoamericanajuan Alfonso Carrizo,Calle 2 N° 417,B1902CHQ,424 4684,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo José Juan Podestá,10 N° 727 Entre 46 y 47,B1900TIY,424 8457,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo De Arte Contemporáneo Latinoamericano (Macla),50 E/ 6 y 7 Pasaje Dardo Rocha,B1900ASW,427 1843,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo Gráfico E Histórico Del Club De Gimnasia Y Esgrima La Plata,4 N° 979,B1900TDT,422 2510,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo Del Automóvil Colección Rau,Av. 1 Nº 121 Entre 34 y 35,B1902CGC,427 6660,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo De La Plata,Paseo del Bosque S/N,1900,423 4910,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo Municipal De Arte,Calle 50 Entre 6 y 7. Pasaje Dardo Rocha,B1900ASW,423 5033,museomumart@yahoo.com.ar,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo Y Archivo Dardo Rocha,Calle 50 N° 933,B1900ATK,,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo Eclesiástico Catedral,Calle 14 Entre 51 y 53,B1900DVL,427 3504,museo-catedral@yahoo.com.ar,www.catedraldelaplata.com,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo De Arte Contemporáneo Beato Angélico,Calle 47 Entre 16 y Diag. 73,B1900AKQ,424 8906,museobangelico@ucalp.edu.ar,www.ucalp.edu.ar,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Archivo Histórico Y Museo Del Servicio Penitenciario Bonaerense,35 N° 535 E/ 5 y 6,B1902BBU,429 3892,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo De Física,"Calle 115, Entre 49 y 50 S/N",1900,424 6062,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo Del Tango Platense Oscar A. Bozzarelli,15 Nº 1579,B1904CTG,424 2698,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo De Odontología Orestes Walter Siutti,50 E/ 1 y 15 - Facultad de Odontología,1900,423 6777,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo De Calcos,"Diagonal 78 N 680, Oficina 16",B1904BTD,427 6304,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,La Plata,Museo Policial,Calle 54 N° 393 Entre 2 y 3,B1900BDO,423 1876,,,,,,,,
6357120,6,6357,Espacios de Exhibición Patrimonial,Buenos Aires,Laguna de Los Padres,Museo Municipal José Hernández,"Ruta 226 Km. 14,5",B7601XAD,463 1394,,,,,,,,
6469080,6,6469,Espacios de Exhibición Patrimonial,Buenos Aires,Lincoln,Museo Enrique Urcola,Avdea. 9 de Julio 260,B6070ACP,421 262,,,,,,,,
6476030,6,6476,Espacios de Exhibición Patrimonial,Buenos Aires,Loberia,Museo De Ciencias Naturales Gesué P. Noseda,Alvear 181,B7635BWC,442 227,,,,,,,,
6483040,6,6483,Espacios de Exhibición Patrimonial,Buenos Aires,Lobos,Museo Y Biblioteca Provincial Presidente Juan Domingo Perón,Pte. Perón 482,B7240AAJ,422 843,,,,,,,,
6497060,6,6497,Espacios de Exhibición Patrimonial,Buenos Aires,Lujan,Complejo Museográfico Provincial Enrique Udaondo,"Calle Lavalle 917, Entre Lezica y Torrezuri",B6700ANU,420 245,,,,,,,,
6497060,6,6497,Espacios de Exhibición Patrimonial,Buenos Aires,Lujan,Museo Municipal De Bellas Artes Fernán Félix De Amador,9 de Julio 863,B6700CDM,420 755,,,,,,,,
6357110,6,6357,Espacios de Exhibición Patrimonial,Buenos Aires,Mar del Plata,Centro Cultural Victoria Ocampo,Matheu 1851,B7602GAK,492 0569,gestion@cultura.mardelplata.cultura.com.ar,,,,,,,
6357110,6,6357,Espacios de Exhibición Patrimonial,Buenos Aires,Mar del Plata,Museo Municipal De Arte Juan Carlos Castagnino,Avda. Colón 1189 - Villa Ortiz Basualdo,B7600FXE,486 1636,,,,,,,,
6357110,6,6357,Espacios de Exhibición Patrimonial,Buenos Aires,Mar del Plata,Museo Municipal De Ciencias Naturales Lorenzo Scaglia,Avda. Libertad 3099,B7600HJB,473 8791,,,,,,,,
6357110,6,6357,Espacios de Exhibición Patrimonial,Buenos Aires,Mar del Plata,Archivo Museo Histórico Municipal Roberto T. Barili,Lamadrid 3870,B7602CQV,495 1200,,,,,,,,
6525020,6,6525,Espacios de Exhibición Patrimonial,Buenos Aires,Marcos Paz,Museo De Arte Hispano Luso Americano Y Del Folklore,Hipólito Irigoyen 377,B1727BAG,477 1110,,,,,,,,
6756010,6,6756,Espacios de Exhibición Patrimonial,Buenos Aires,Martínez,Museo Chavín De Huantar,Luis Sáenz Peña 2864,B1640ITF,4798 1835,,,,,,,,
6280040,6,6280,Espacios de Exhibición Patrimonial,Buenos Aires,Miramar,Museo De La Región De Ansenuza Aníbal Montes,Sarmiento Esq. Urquiza,X5143BQG,493 621,,,,,,,,
6280040,6,6280,Espacios de Exhibición Patrimonial,Buenos Aires,Miramar,Museo Del Gran Hotel Viena De Miramar,Croacia S/N,X5143BQG,,,,,,,,,
6280040,6,6280,Espacios de Exhibición Patrimonial,Buenos Aires,Miramar,Museo Municipal Punta Hermengo,"Vivero Bosque ""Florentino Ameghino""",7607,,,,,,,,,
6280040,6,6280,Espacios de Exhibición Patrimonial,Buenos Aires,Miramar,Museo Fotográfico De Miramar,Libertad 124,X5143BQD,493078,,,,,,,,
6260010,6,6260,Espacios de Exhibición Patrimonial,Buenos Aires,Monte Grande,Museo Histórico Municipal La Campana,"Deán Gregorio Funes 1221, B° la Morita",1842,4290 0437,,,,,,,,
6553020,6,6553,Espacios de Exhibición Patrimonial,Buenos Aires,Monte Hermoso,Museo Municipal De Ciencias Naturales,"Avda. Recalada 243,",B8153CMC,482 601,,,,,,,,
6568010,6,6568,Espacios de Exhibición Patrimonial,Buenos Aires,Morón,Museo De La Catedral De Morón Inmaculada Concepción Del Buen Viaje,Gral. Manuel Belgrano 327,B1708IFG,4629 0969,mensajes@catedraldemoron.org.ar,,,,,,,
6568010,6,6568,Espacios de Exhibición Patrimonial,Buenos Aires,Morón,Museo Histórico Y De Arte Gral. José De San Martín,Casullo 59,B1708IPA,4629 1456,arteycultura@moron.gov.ar,,,,,,,
6568010,6,6568,Espacios de Exhibición Patrimonial,Buenos Aires,Morón,Museo Nacional De Aeronáutica Brig. Edmundo H. Civati Bernasconi,Avda. Eva Perón 2200,B1708FEU,4697 9780,museonacionalaeronautica@yahoo.com.ar,,,,,,,
6861010,6,6861,Espacios de Exhibición Patrimonial,Buenos Aires,Munro,Museo Del Cine Lumiton,Sargento Cabral 2354,B1605EEH,4721 9255,,,,,,,,
6700060,6,6700,Espacios de Exhibición Patrimonial,Buenos Aires,Pigüe,Museo Y Archivo De La Ciudad De Pigüé,"Parque Municipal ""Fortunato Chiappara""",8170,475 001,,,,,,,,
6651080,6,6651,Espacios de Exhibición Patrimonial,Buenos Aires,Púan,Museo Municipal Ignacio Balvidares,San Martín y Garay,8180,498 018,,,,,,,,
6560010,6,6560,Espacios de Exhibición Patrimonial,Buenos Aires,Puente Márquez,Museo Orlando Ambrosio Binaghi,Puente de Márquez 1251 y Mendoza,1742,468 5533,,,,,,,,
6658010,6,6658,Espacios de Exhibición Patrimonial,Buenos Aires,Quilmes,Museo Municipal Del Transporte Don Carlos Hillner Y Decoud,Laprida y Ricardo Rojas,B1879BTQ,4280 5488,,,,,,,,
6658010,6,6658,Espacios de Exhibición Patrimonial,Buenos Aires,Quilmes,Museo De Artes Visuales Víctor E. Roverano,Rivadavia 498,B1878KJJ,4224 5336,,,,,,,,
6658010,6,6658,Espacios de Exhibición Patrimonial,Buenos Aires,Quilmes,Museo Municipal Histórico Fotográfico De Quilmes Gerónima Irma Giles Y Gaetano De Mayol,25 de Mayo 218 Este / Lavalle y Brown,B1878JZF,4253 9162,,,,,,,,
6665040,6,6665,Espacios de Exhibición Patrimonial,Buenos Aires,Ramallo,Museo Histórico Municipal De Ramallo Hércules J. Rabagliati,Moreno 890,B2915BNR,422 930,,,,,,,,
6343030,6,6343,Espacios de Exhibición Patrimonial,Buenos Aires,Ranchos,Museo Histórico De Ranchos Marta Inés Martínez,Leopoldo Casal 3059,B1987BDO,475 477,museoranchos@yahoo.com.ar,,,,,,,
6343030,6,6343,Espacios de Exhibición Patrimonial,Buenos Aires,Ranchos,Museo Ferroviario Ranchos,Belgrano y Moreno,1987,482 002,,,,,,,,
6672010,6,6672,Espacios de Exhibición Patrimonial,Buenos Aires,Rauch,Museo Municipal De Artes Plásticas Faustino Jorge Bonadeo,Avda. San Martín 155,B7203BPB,443 249,,,,,,,,
6721020,6,6721,Espacios de Exhibición Patrimonial,Buenos Aires,Salliquelo,Museo Gabriel Campomar Cervera,Brasil 455,B6339AKK,480 672,,,,,,,,
6714060,6,6714,Espacios de Exhibición Patrimonial,Buenos Aires,Salto,Museo Rincón De Historia,Oscar Eduardo Quiñones,2741,424 809,,,,,,,,
6371010,6,6371,Espacios de Exhibición Patrimonial,Buenos Aires,San Andrés,Museo Histórico Regional Brigadier General Don Juan Manuel De Rosas,Diego Pombo 3324,B1651AFJ,4830 0683,,,,,,,,
6735020,6,6735,Espacios de Exhibición Patrimonial,Buenos Aires,San Antonio de Areco,Museo De Artes Plásticas Juan B. Tapia,Lavalle 363,B2760BME,456 202,,,,,,,,
6735020,6,6735,Espacios de Exhibición Patrimonial,Buenos Aires,San Antonio de Areco,Centro Cultural Y Museo Usina Vieja,Alsina 66,B2760ACB,456 202,usinavieja@hotmail.com,,,,,,,
6735020,6,6735,Espacios de Exhibición Patrimonial,Buenos Aires,San Antonio de Areco,Museo Evocativo Y De Bellas Artes Osvaldo Gasparini,Alvear 521,B2760ADK,454 243,,,,,,,,
6735020,6,6735,Espacios de Exhibición Patrimonial,Buenos Aires,San Antonio de Areco,Parque Criollo Y Museo Gauchesco Ricardo Güiraldes,Camino Ricardo Güiraldes S/N,2760,455 839,,,,,,,,
6756010,6,6756,Espacios de Exhibición Patrimonial,Buenos Aires,San Isidro,Museo Histórico Municipal Brig. Gral. Juan M. Pueyrredón,Rivera Indarte 48,B1642IFB,4512 3131,,,,,,,,
6756010,6,6756,Espacios de Exhibición Patrimonial,Buenos Aires,San Isidro,Museo Biblioteca Y Archivo Histórico Municipal De San Isidro Dr. Horacio Beccar Varela,Adrián Beccar Varela 774,B1642DMD,4575 4038,,,,,,,,
6427010,6,6427,Espacios de Exhibición Patrimonial,Buenos Aires,San Justo,Museo Histórico Municipal Rosa Giussani De Piva,9 de Julio 2457,S3040AGI,420 004,,,,,,,,
6760010,6,6760,Espacios de Exhibición Patrimonial,Buenos Aires,San Miguel,Museo Mariposas Del Mundo,Italia 650,B1663NXN,4664 2108,,,,,,,,
6763050,6,6763,Espacios de Exhibición Patrimonial,Buenos Aires,San Nicolás de Los Arroyos,Museo Y Archivo Histórico Municipal Don Gregorio Santiago Chervo,Francia 187,B2900HVC,422 259,,,,,,,,
6763050,6,6763,Espacios de Exhibición Patrimonial,Buenos Aires,San Nicolás de Los Arroyos,Museo Y Biblioteca De La Casa Del Acuerdo De San Nicolás,De la Nación 139-143,B2900AAC,421 452,,,,,,,,
6791050,6,6791,Espacios de Exhibición Patrimonial,Buenos Aires,Tandil,Museo Municipal De Bellas Artes De Tandil (Mumbat),Chacabuco 357,B7000AKI,432 067,museotandil@hotmail.com,,,,,,,
6791050,6,6791,Espacios de Exhibición Patrimonial,Buenos Aires,Tandil,Museo Histórico Fuerte Independencia,4 de Abril 845,B7000BAI,435 573,museodelfuerte@yahoo.com.ar,,,,,,,
6798020,6,6798,Espacios de Exhibición Patrimonial,Buenos Aires,Tapalqué,Museo Y Centro De Cultura,Avda. Belgrano 225,B7303BIC,420 551,,,,,,,,
6805010,6,6805,Espacios de Exhibición Patrimonial,Buenos Aires,Tigre,Museo De La Reconquista,Avda. Liniers y Padre Castañeda,B1648DAP,4512 4496,cultura@tigre.gov.ar,,,,,,,
6805010,6,6805,Espacios de Exhibición Patrimonial,Buenos Aires,Tigre,Museo Naval De La Nación,Paseo Victorica 602,B1648DVN,4749 0608,museonaval@ara.mil.ar,www.ara.mil.ar,,,,,,
6805010,6,6805,Espacios de Exhibición Patrimonial,Buenos Aires,Tigre,Museo Histórico De La Prefectura Naval Argentina,Avda. Liniers 1264,B1648DAZ,4749 6161,,www.prefecturanaval.edu.ar/museo/,,,,,,
6805010,6,6805,Espacios de Exhibición Patrimonial,Buenos Aires,Tigre,Museo De Arte Tigre,Paseo Victorica 972,B1648DVT,4512 4528,museodearte@tigre.gov.ar,,,,,,,
6819040,6,6819,Espacios de Exhibición Patrimonial,Buenos Aires,Tornquist,Museo Histórico Regional Fuerte Argentino,Gral. Paz 51,B8160AWA,494 0810,mspialtini@yahoo.com.ar,,,,,,,
6826050,6,6826,Espacios de Exhibición Patrimonial,Buenos Aires,Trenque Lauquen,Museo Histórico De Las Campañas Al Desierto Gral. Conrado E. Villegas,San Martín 1150,B6400CFN,423 673,,,,,,,,
6826050,6,6826,Espacios de Exhibición Patrimonial,Buenos Aires,Trenque Lauquen,Museo Cívico Almafuerte,Almafuerte 174,B6400AKF,,,,,,,,,
6833100,6,6833,Espacios de Exhibición Patrimonial,Buenos Aires,Tres Arroyos,Museo Municipal José A. Mulazzi,San Martín 323,B7500IKD,434 555,,,,,,,,
6833100,6,6833,Espacios de Exhibición Patrimonial,Buenos Aires,Tres Arroyos,Museo De Bellas Artes De Tres Arroyos,Avda. Moreno 232,B7500GHP,432 354,,,,,,,,
6861010,6,6861,Espacios de Exhibición Patrimonial,Buenos Aires,Vicente López,Museo Rómulo Raggio,Gaspar Campos 861,B1638ARO,4791 0868,,,,,,,,
6749010,6,6749,Espacios de Exhibición Patrimonial,Buenos Aires,Victoria,Museo De La Ciudad Carlos A. Anadón,Avda. Congreso 593,E3153BEK,421 063,,,,,,,,
6749010,6,6749,Espacios de Exhibición Patrimonial,Buenos Aires,Victoria,Museo Ovni Y De La Ciencia,Sarmiento 526,E3153EZH,427 596,,,,,,,,
6756010,6,6756,Espacios de Exhibición Patrimonial,Buenos Aires,Villa Adelina,Museo De La Palabra,Luis María Drago 2265,B1607CYC,4766 8746,,,,,,,,
6371010,6,6371,Espacios de Exhibición Patrimonial,Buenos Aires,Villa Ballester,Museo Argentino De La Gaseosa (Mag),Lacroze 5063 5°A,B1653BFI,4764 6945,info@mag.org.ar,,,,,,,
6371010,6,6371,Espacios de Exhibición Patrimonial,Buenos Aires,Villa Ballester,Museo Histórico José Hernández - Chacra Pueyrredón,Presbítero Carballo 5042 (Calle 111),B1653IPD,4847 5035,,,,,,,,
6441030,6,6441,Espacios de Exhibición Patrimonial,Buenos Aires,Villa Elisa,El Porvenir - Monumento Histórico Municipal Y Museo Regional,Churruarín S/N,3265,481 666,,,,,,,,
